Id_A	Id_B	Gene_A	Gene_B	"Pubmedid,EvidenceCode,HT"					
1	310	A1BG	ANXA7	"21900206,0018,HT"					
1	368	A1BG	ABCC6	"21988832,0018,HT"					
1	1026	A1BG	CDKN1A	"21900206,0018,HT"					
1	2886	A1BG	GRB7	"21900206,0018,HT"					
1	6606	A1BG	SMN1	"21900206,0018,HT"					
1	6607	A1BG	SMN2	"21900206,0018,HT"					
1	6622	A1BG	SNCA	"21900206,0018,HT"					
1	7083	A1BG	TK1	"21900206,0018,HT"					
1	10549	A1BG	PRDX4	"21988832,0018,HT"					
1	80854	A1BG	SETD7	"21988832,0018,HT"					
2	2	A2M	A2M	"21163940,0018,HT"					
2	60	A2M	ACTB	"171,749,550,027"	"171,749,550,029"	"21163940,0018,HT"			
2	259	A2M	AMBP	"16,978,520,492"	"16,978,520,493"	"75,198,490,492"	"75,198,490,493"	"75,331,620,492"	"75,331,620,493"
2	310	A2M	ANXA7	"21900206,0018,HT"					
2	348	A2M	APOE	"98,316,250,492"	"98,316,250,493"	"21163940,0018,HT"	"21163940,0397,HT"		
2	351	A2M	APP	"95,012,530,018"	"95,012,530,019"	"21163940,0018,HT"	"21163940,0397,HT"		
2	476	A2M	ATP1A1	"21163940,0018,HT"					
2	998	A2M	CDC42	"18624398,0018,HT"					
2	1026	A2M	CDKN1A	"21900206,0018,HT"					
2	1558	A2M	CYP2C8	"21163940,0018,HT"	"21163940,0397,HT"				
2	1562	A2M	CYP2C18	"21163940,0018,HT"	"21163940,0397,HT"				
2	1990	A2M	CELA1	"802,330,493"	"61,536,320,493"	"61,919,790,493"			
2	1995	A2M	ELAVL3	"21163940,0018,HT"	"21163940,0397,HT"				
2	2026	A2M	ENO2	"21163940,0018,HT"					
2	2193	A2M	FARSA	"21163940,0018,HT"	"21163940,0397,HT"				
2	2639	A2M	GCDH	"21163940,0018,HT"	"21163940,0397,HT"				
2	2669	A2M	GEM	"18624398,0018,HT"					
2	2885	A2M	GRB2	"18624398,0018,HT"					
2	3014	A2M	H2AFX	"21900206,0018,HT"					
2	3163	A2M	HMOX2	"21900206,0018,HT"					
2	3309	A2M	HSPA5	"121,949,780,493"	"171,749,550,027"	"171,749,550,029"			
2	3337	A2M	DNAJB1	"21163940,0018,HT"					
2	3437	A2M	IFIT3	"21163940,0018,HT"	"21163940,0397,HT"				
2	3553	A2M	IL1B	"24,668,310,019"	"24,668,310,492"	"24,668,310,493"	"97,141,810,492"	"97,141,810,493"	
2	4035	A2M	LRP1	"106,523,130,114"	"106,523,130,492"	"106,523,130,493"	"121,949,780,492"	"121,949,780,493"	
2	4803	A2M	NGF	"97,802,130,404"	"106,815,720,492"				
2	4846	A2M	NOS3	"21163940,0018,HT"	"21163940,0397,HT"				
2	5155	A2M	PDGFB	"97,802,130,404"	"106,815,720,492"	"106,815,720,493"			
2	5864	A2M	RAB3A	"21163940,0018,HT"					
2	5886	A2M	RAD23A	"21163940,0018,HT"	"21163940,0397,HT"				
2	5908	A2M	RAP1B	"21900206,0018,HT"					
2	6009	A2M	RHEB	"21163940,0018,HT"	"21163940,0397,HT"				
2	6468	A2M	FBXW4	"21163940,0018,HT"					
2	6606	A2M	SMN1	"21900206,0018,HT"					
2	6607	A2M	SMN2	"21900206,0018,HT"					
2	7001	A2M	PRDX2	"21163940,0018,HT"	"21163940,0397,HT"				
2	7050	A2M	TGIF1	"21900206,0018,HT"					
2	7052	A2M	TGM2	"21988832,0018,HT"					
